state,date,sex,ethnicity,abs
Johor,1/1/2022,both,overall,48254
Kedah,1/1/2022,both,overall,30796
Kelantan,1/1/2022,both,overall,33808
Melaka,1/1/2022,both,overall,13105
Negeri Sembilan,1/1/2022,both,overall,15991
Pahang,1/1/2022,both,overall,23568
Perak,1/1/2022,both,overall,29543
Perlis,1/1/2022,both,overall,3746
Pulau Pinang,1/1/2022,both,overall,17731
Sabah,1/1/2022,both,overall,43617
Sarawak,1/1/2022,both,overall,30937
Selangor,1/1/2022,both,overall,83658
Terengganu,1/1/2022,both,overall,25304
W.P. Kuala Lumpur,1/1/2022,both,overall,19853
W.P. Labuan,1/1/2022,both,overall,1374
W.P. Putrajaya,1/1/2022,both,overall,1839
