state,date,age,abs,rate
Johor,1/1/2022,all,26539,25.8
Johor,1/1/2022,all,26166,21.1
Kedah,1/1/2022,all,18584,31.7
Kedah,1/1/2022,all,15768,25.4
Kelantan,1/1/2022,all,18297,32.3
Kelantan,1/1/2022,all,20558,35.4
Melaka,1/1/2022,all,6920,26.1
Melaka,1/1/2022,all,6912,23.7
Negeri Sembilan,1/1/2022,all,8843,26.3
Negeri Sembilan,1/1/2022,all,8915,25.4
Pahang,1/1/2022,all,10916,25.8
Pahang,1/1/2022,all,10369,21.3
Perak,1/1/2022,all,18059,26.6
Perak,1/1/2022,all,16407,23
Perlis,1/1/2022,all,2398,29.6
Perlis,1/1/2022,all,1965,23.6
Pulau Pinang,1/1/2022,all,10002,22.7
Pulau Pinang,1/1/2022,all,10067,21.6
Sabah,1/1/2022,all,17239,18.8
Sabah,1/1/2022,all,15855,15
Sarawak,1/1/2022,all,16382,25.4
Sarawak,1/1/2022,all,16707,23.6
Selangor,1/1/2022,all,38591,23.2
Selangor,1/1/2022,all,42825,22
Terengganu,1/1/2022,all,11254,32.7
Terengganu,1/1/2022,all,9671,26.2
W.P. Kuala Lumpur,1/1/2022,all,9709,21.5
W.P. Kuala Lumpur,1/1/2022,all,11419,24.1
W.P. Labuan,1/1/2022,all,548,20.8
W.P. Labuan,1/1/2022,all,673,23.4
W.P. Putrajaya,1/1/2022,all,543,15.7
W.P. Putrajaya,1/1/2022,all,547,16.9
